Mcule ID,SMILES,Similarity to hit - Tanimoto coefficient
MCULE-5596640009-0,C1(SC=C(C2=CC=CC(Br)=C2)N=1)NC1C=CC=C(C)N=1,0.755
MCULE-9825795491-0,C1(SC=C(C2C=CC(=CC=2C)C)N=1)NC1=CC=CC=N1,0.753
MCULE-2729263550-0,C1(SC=C(C2C=CC(=CC=2)O)N=1)NC1=CC=CC=N1,0.753
MCULE-8713890895-0,C1(SC=C(C2C=CC(=CC=2)Br)N=1)NC1=CC=CC=N1,0.753
MCULE-5628220625-0,C1(SC=C(C2C=CC(=CC=2)F)N=1)NC1=CC=CC=N1,0.753
MCULE-1162352817-0,N1C(C2=CC=CC=N2)=CSC=1NC1C=CC=CC=1F,0.753
MCULE-2678266375-0,C1(SC=C(C2=CC=C(C=C2)NC(C)=O)N=1)NC1=CC=CC(C)=N1,0.752
MCULE-3778829744-0,C1(SC=C(C2=CC=CC=C2Cl)N=1)NC1C=CC=C(C)N=1,0.752
MCULE-8178315462-0,C1(SC=C(C2C=CC(=CC=2O)O)N=1)NC1=CC(C)=CC=N1,0.750
MCULE-9356321358-0,C1(SC=C(C2=CC=CN=C2)N=1)NC1=CC=CC(C)=N1,0.750
MCULE-4300164718-0,C1(SC=C(C2=CC=C3C(C=CC=C3)=C2)N=1)NC1=CC=C(C=N1)Cl,0.750
MCULE-1138497466-0,C1(SC=C(C2C=CC(=CC=2)C)N=1)NC1C=CC(=CN=1)Cl,0.750
MCULE-1644506074-0,O=N(C1=CC=C(C2N=C(NC3=NC=CC=C3)SC=2)C=C1)=O,0.750
MCULE-6104292906-0,N1C(C2=CC=CC=N2)=CSC=1NC1=CC=CC(=C1)N(=O)=O,0.748
MCULE-2911653613-0,C1(SC=C(C2C=CC(=CC=2)CC)N=1)NC1=CC=C(C=N1)C,0.748
MCULE-1563258495-0,C1(SC=C(C2=CC=C(C=C2)C(C)C)N=1)NC1=CC=C(C=N1)C,0.748
MCULE-7098152254-0,N1C(C2=CC=CC=N2)=CSC=1NC1C=CC(=CC=1)OCC,0.748
MCULE-3081052764-0,C1(SC=C(C2=CC=NC=C2)N=1)NC1=C(C=CC=N1)C,0.748
MCULE-1421579995-0,Cl.FC1=CC=C(C2N=C(NC3=NC=CC=C3)SC=2)C=C1,0.748
MCULE-9943153320-0,C1(SC=C(C2C=CC(=CC=2C)C)N=1)NC1=CC=CC=N1.Cl[H],0.748
MCULE-9181412875-0,C1(NC2C=CC=C(C)N=2)SC(=C(C2C=CC(=CC=2)C)N=1)C,0.747
MCULE-8731808359-0,N1C(C2=CC=CC=N2)=CSC=1NC1=CC=CC(Cl)=C1C,0.745
MCULE-9548554279-0,C1(SC=C(C2C=CC(=CC=2)OC)N=1)NC1=CC=CC(C)=N1,0.745
MCULE-6972447517-0,CSC1=CC=C(C2N=C(NC3=NC=CC=C3)SC=2)C=C1,0.745
MCULE-4569622380-0,C1(SC=C(C2=CC=CC(Cl)=C2)N=1)NC1C=CC=CN=1,0.745
MCULE-5188763659-0,N1C(C2=CC=CC=N2)=CSC=1NC1C=CC(=C(C(O)=O)C=1)O,0.744
MCULE-8048315717-0,N1C(C2=CC=CC=N2)=CSC=1NC1=C(Cl)C=CC(=C1)C(F)(F)F,0.744
MCULE-8199591587-0,N1C(C2=CC=CC=N2)=CSC=1NC1=CC=C(C=C1Br)Br,0.744
MCULE-1067415001-0,C1(SC=C(C2C=CC(=C(C)C=2)OC)N=1)NC1=CC(C)=CC=N1,0.741
MCULE-5395612857-0,C1(SC=C(C2C=CC(=C(C)C=2)F)N=1)NC1=CC=CC(C)=N1,0.741
MCULE-3570844924-0,CSC1=CC=C(C2N=C(NC3=NC=CC=C3)SC=2)C=C1.Cl,0.740
MCULE-3899703284-0,C1(SC=C(C2C=CC(=CC=2)F)N=1)NC1=CC=C(C=N1)F,0.740
MCULE-5994507087-0,N1C(=CSC=1NC1=CC=CC=N1)C1=CC(C)=CC=C1C,0.739
MCULE-1207999851-0,C1(SC=C(C2=CC=CC(Br)=C2)N=1)NC1C=CC=CN=1,0.739
MCULE-8330664240-0,N1C(=CSC=1NC1=CC=CC=N1)C1C(C)=CC(=C(C)C=1)C,0.739
MCULE-5668613560-0,C1(SC=C(C2C=CC(=CC=2)CC)N=1)NC1=CC=C(C=N1)F,0.737
MCULE-6605791105-0,C1(SC=C(C2=CC=C(C)C(C)=C2)N=1)NC1C=CC(=CN=1)C,0.737
MCULE-5419509389-0,CS(NC1=CC=C(C2N=C(NC3=NC=CC=C3)SC=2)C=C1)(=O)=O,0.737
MCULE-4384709391-0,C1(SC=C(C2=CC=C(C=C2)OC(C)=O)N=1)NC1=CC(C)=CC=N1,0.736
MCULE-4288535935-0,S(N)(=O)(=O)C1=CC=C(C=C1)NC1SC=C(C2=CC=CC=N2)N=1,0.736
MCULE-1869686617-0,N1C(=CSC=1NC1C=CC=CN=1)C1=CC=CC=C1Cl,0.735
MCULE-9055928666-0,NC(NC1=CC=C(C2N=C(NC3=NC=CC=C3)SC=2)C=C1)=O,0.735
MCULE-8616569515-0,C1(SC=C(C2=CC=C(C=C2)NC(C)=O)N=1)NC1=CC=CC=N1,0.735
MCULE-2966612477-0,C1(SC=C(C2C=CC(=CC=2)Cl)N=1)NC1=CC=C(C=N1)C,0.734
MCULE-6982458579-0,N1C(C2=CC=CC=N2)=CSC=1NC1C=CC=C(OC)C=1,0.734
MCULE-1678775632-0,BrC1=C(C2N=C(NC3=NC=CC=C3)SC=2)C=CC=C1,0.734
MCULE-6285616901-0,BrC1=C(C2N=C(NC3=NC=CC=C3)SC=2)C=CC=C1.Br,0.734
MCULE-3530636338-0,C1(SC=C(C2=CC=C(C)C(C)=C2)N=1)NC1C(=CC=CN=1)C,0.732
MCULE-6612676167-0,CS(NC1=CC=C(C2N=C(NC3=NC=CC=C3)SC=2)C=C1)(=O)=O.Cl,0.732
MCULE-2585441048-0,CN(S(C)(=O)=O)C1=CC=C(C2N=C(NC3=NC=CC=C3)SC=2)C=C1,0.732
MCULE-8500147549-0,C1(NC2C=C(C)C=CN=2)SC(=C(C2C=CC(=CC=2)Cl)N=1)C,0.732
MCULE-4161413613-0,C1(NC2C=C(C)C=CN=2)SC(=C(C2C=CC(=CC=2)Br)N=1)C,0.732
MCULE-6204592239-0,C1(NC2C=CC=CN=2)SC(=C(C2C=CC(=CC=2)C)N=1)C,0.731
MCULE-3256115729-0,C1(SC=C(C2C=CC(=C(Cl)C=2)Cl)N=1)NC1=CC=CC=N1,0.731
MCULE-3966449955-0,C1(SC=C(C2=CC=NC=C2)N=1)NC1=CC=C(C=N1)Cl,0.730
MCULE-9687944093-0,C1(SC=C(C2C=CC(=CC=2)Cl)N=1)NC1=C(C=CC=N1)C,0.730
MCULE-9785158435-0,N1C(C2=CC=CC=N2)=CSC=1NC1=CC=CC=C1OC,0.730
MCULE-1353837629-0,C1(SC=C(C2C=CC(=C(O)C=2)O)N=1)NC1=CC=CC=N1,0.729
MCULE-8732221050-0,C1(SC=C(C2=CC=CC=C2)N=1)NC1=CC=C(C=N1)Br,0.729
MCULE-6657699446-0,N1C(=CSC=1NC1C=CC=CN=1)C1C=CC=CC=1O,0.729
MCULE-1137244376-0,C1(SC=C(C2C=CC(=CC=2)OC)N=1)NC1C=CC=CN=1,0.729
MCULE-4003743406-0,C1(SC=C(C2=CC=C(C=C2Cl)Cl)N=1)NC1=CC=CC(C)=N1,0.728
MCULE-5529289169-0,C1(SC=C(C2=CC=CC(=C2)NC(C)=O)N=1)NC1=CC=CC(C)=N1,0.728
MCULE-4946952900-0,C1(SC=C(C2C=CC(=CC=2)F)N=1)NC1=CC=C(C=N1)C,0.728
MCULE-5002611168-0,C1(SC=C(C2=CC=C(C)C=C2C)N=1)NC1C=CC(=CN=1)C,0.728
MCULE-1966346703-0,C1(SC=C(C2C=CC(=CC=2)Br)N=1)NC1=CC=C(C=N1)C,0.728
